country,region,number_of_doc
United States,Alaska,254
Viet Nam,Lang Son,252
Bulgaria,Kardzhali,252
Philippines,Negros Occidental,252
Viet Nam,Thua Thien-Hue,252
Turkey,Karabuk,250
Portugal,Portalegre,246
Morocco,Grand Casablanca,246
Turkey,Nigde,246
Chile,Aysen,245
Viet Nam,Vinh Long,245
Viet Nam,Hai Duong,244
Philippines,South Cotabato,241
Estonia,Viljandimaa,240
Turkey,Usak,240
Turkey,Mardin,240
India,Kerala,239
Argentina,San Luis,239
Slovenia,Sevnica,238
Slovenia,Celje,237
Brazil,Goias,236
Viet Nam,Binh Phuoc,236
Morocco,Rabat-Sale-Zemmour-Zaer,235
Peru,Huanuco,234
Colombia,Cesar,232
Viet Nam,Ca Mau,232
Sweden,Gotlands Lan,232
Isle of Man,Isle of Man,232
Turkey,Kirikkale,231
Brazil,Ceara,231
Bulgaria,Targovishte,231
Latvia,Jelgavas,230
"Taiwan, Province of China",T'ai-wan,227
Ireland,Roscommon,227
Argentina,Corrientes,227
Switzerland,Appenzell Ausserrhoden,226
Peru,Cusco,223
India,Haryana,223
Canada,Prince Edward Island,223
Canada,Nunavut,220
Peru,San Martin,220
Guatemala,Izabal,217
Viet Nam,Ninh Thuan,217
Honduras,Cortes,216
Slovenia,Velenje,215
Brazil,Bahia,214
Croatia,Licko-senjska zupanija,213
Ireland,Leitrim,211
Latvia,Aluksnes,210
Italy,Valle d'Aosta,210
Ireland,Longford,208
Turkey,Agri,207
Portugal,Braganca,207
Viet Nam,Thai Nguyen,204
Malaysia,Selangor,203
Russian Federation,Moskovskaya oblast',203
Viet Nam,Soc Trang,202
Turkey,Osmaniye,201
Israel,Yerushalayim,200
Argentina,Santiago del Estero,199
Brazil,Pernambuco,198
Turkey,Nevsehir,195
Pakistan,Sindh,194
Viet Nam,Quang Ngai,192
Switzerland,Jura,192
Paraguay,Central,191
Slovenia,Kranj,189
Switzerland,Obwalden,189
Pakistan,Punjab,189
Turkey,Amasya,188
Angola,Luanda,188
Philippines,Iloilo,188
Viet Nam,Tien Giang,186
Colombia,Cordoba,184
Philippines,Nueva Ecija,182
Bulgaria,Yambol,180
Philippines,Zamboanga del Sur,179
Viet Nam,Vinh Phuc,179
New Zealand,Tasman,179
Argentina,Chaco,178
Turkey,Yozgat,177
Turkey,Bilecik,177
Argentina,Santa Cruz,175
Guatemala,Jutiapa,174
Colombia,La Guajira,174
Costa Rica,Limon,173
Algeria,Alger,171
Latvia,Incukalna,170
Greece,Thessaloniki,170
Argentina,Jujuy,164
Viet Nam,Bac Giang,163
Viet Nam,Nghe An,162
Canada,Northwest Territories,162
Viet Nam,Thai Binh,162
Viet Nam,Ben Tre,160
Guatemala,Retalhuleu,157
Viet Nam,Tra Vinh,157
Brazil,Espirito Santo,156
Philippines,Tarlac,153
Cote D'ivoire,Lagunes,153
Argentina,San Juan,152
Argentina,Formosa,151
Serbia,Kosovo,150
Viet Nam,Gia Lai,149
Ukraine,Odes'ka Oblast',149
Philippines,Lanao del Norte,149
Croatia,Viroviticko-podravska zupanija,149
Guatemala,Jalapa,148
